sample_index,image_id,path,target_id,target_name,annotated_category_ids,cci_region,cci_bbox_precision,cci_target_drop_raw,cci_target_drop_norm,cci_margin_norm,cci_pmean_norm,feasible_set_size
0,006915,/Users/von/Projects/cci-local-recovery/rerun_workspace/data/voc2007/VOCdevkit/VOC2007/JPEGImages/006915.jpg,dog,dog,"[""dog"",""bicycle"",""person""]",0,0.4444444477558136,1.1927989721298218,1.2095566987991333,-0.4892488718032837,0.13025522232055664,1
1,000364,/Users/von/Projects/cci-local-recovery/rerun_workspace/data/voc2007/VOCdevkit/VOC2007/JPEGImages/000364.jpg,motorbike,motorbike,"[""motorbike"",""person""]",6,0.5,0.2778266668319702,0.28195029497146606,-0.2139471471309662,0.1287328004837036,1
2,008846,/Users/von/Projects/cci-local-recovery/rerun_workspace/data/voc2007/VOCdevkit/VOC2007/JPEGImages/008846.jpg,cat,cat,"[""cat"",""pottedplant""]",0,0.75,2.3636982440948486,2.4000420570373535,1.9640042781829834,3.526366710662842,1
3,004964,/Users/von/Projects/cci-local-recovery/rerun_workspace/data/voc2007/VOCdevkit/VOC2007/JPEGImages/004964.jpg,sofa,sofa,"[""sofa"",""chair"",""person""]",1,0.800000011920929,4.116818428039551,4.18343448638916,2.34578275680542,4.40893030166626,1
4,002631,/Users/von/Projects/cci-local-recovery/rerun_workspace/data/voc2007/VOCdevkit/VOC2007/JPEGImages/002631.jpg,person,person,"[""person"",""bicycle""]",0,0.4000000059604645,0.549541711807251,0.558896005153656,-0.7801753878593445,-0.04040557146072388,1
5,004225,/Users/von/Projects/cci-local-recovery/rerun_workspace/data/voc2007/VOCdevkit/VOC2007/JPEGImages/004225.jpg,boat,boat,"[""boat"",""person""]",0,0.1111111119389534,1.583702802658081,1.6085985898971558,0.4646618366241455,1.1518816947937012,1
6,003701,/Users/von/Projects/cci-local-recovery/rerun_workspace/data/voc2007/VOCdevkit/VOC2007/JPEGImages/003701.jpg,car,car,"[""car"",""person""]",0,0.0,0.6257703900337219,0.6344802379608154,-1.6980233192443848,0.02815401554107666,1
7,006811,/Users/von/Projects/cci-local-recovery/rerun_workspace/data/voc2007/VOCdevkit/VOC2007/JPEGImages/006811.jpg,horse,horse,"[""horse"",""person""]",2,0.5555555820465088,1.4527676105499268,1.4696847200393677,0.596651017665863,1.6298857927322388,1
8,003217,/Users/von/Projects/cci-local-recovery/rerun_workspace/data/voc2007/VOCdevkit/VOC2007/JPEGImages/003217.jpg,car,car,"[""car"",""person""]",6,1.0,0.4995497465133667,0.5065028071403503,-0.37583470344543457,0.10963577032089233,1
9,002239,/Users/von/Projects/cci-local-recovery/rerun_workspace/data/voc2007/VOCdevkit/VOC2007/JPEGImages/002239.jpg,person,person,"[""person"",""bicycle""]",3,0.0,0.3660041093826294,0.37223419547080994,-0.2720419466495514,0.04883676767349243,2
10,008563,/Users/von/Projects/cci-local-recovery/rerun_workspace/data/voc2007/VOCdevkit/VOC2007/JPEGImages/008563.jpg,chair,chair,"[""chair"",""tvmonitor""]",3,0.0,0.4542692303657532,0.46097099781036377,-0.10336524248123169,0.3015517592430115,1
11,005844,/Users/von/Projects/cci-local-recovery/rerun_workspace/data/voc2007/VOCdevkit/VOC2007/JPEGImages/005844.jpg,diningtable,diningtable,"[""diningtable"",""chair""]",7,0.875,0.9952313303947449,1.0090161561965942,0.8829733729362488,1.3916881084442139,1
12,004721,/Users/von/Projects/cci-local-recovery/rerun_workspace/data/voc2007/VOCdevkit/VOC2007/JPEGImages/004721.jpg,person,person,"[""person"",""bottle""]",2,0.6000000238418579,-0.10662078857421875,-0.10843568295240402,-1.8086907863616943,-0.12741592526435852,1
13,004243,/Users/von/Projects/cci-local-recovery/rerun_workspace/data/voc2007/VOCdevkit/VOC2007/JPEGImages/004243.jpg,motorbike,motorbike,"[""motorbike"",""person""]",3,0.6666666865348816,3.1214396953582764,3.167769432067871,1.9011205434799194,3.1015446186065674,1
