sample_index,image_id,target_id,A,Aplus,B,C0,C1,C2,r,full_failure,absent_failure,exact_matched_random_failure_probability,cci_region,wf_region,mean_region,max_0_1_region,cci_bbox_precision,wf_bbox_precision,feasible_set_size,n_full_foils,n_absent_foils,m_outranking_foils
0,6915,dog,0,0,0,0,0,0,0,1,1,1.0,2,2,2,2,0.4399999976158142,0.4399999976158142,1,19,17,10
1,364,motorbike,1,1,1,0,1,0,0,1,1,0.9473684210526316,0,0,0,0,0.6666666865348816,0.6666666865348816,1,19,18,1
2,8846,cat,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0.9473684430122375,0.9473684430122375,1,19,18,0
3,4964,sofa,1,1,0,0,0,0,0,0,0,0.0,1,1,1,1,0.8611111044883728,0.8611111044883728,1,19,17,0
4,2631,person,1,1,1,1,0,0,0,1,1,1.0,4,4,4,4,1.0,1.0,1,19,18,4
5,4225,boat,1,1,0,0,0,0,0,0,0,0.0,5,5,5,5,1.0,1.0,1,19,18,0
6,3701,car,1,1,0,0,0,0,0,0,0,0.0,7,7,7,7,0.8888888955116272,0.8888888955116272,1,19,18,0
7,6811,horse,1,1,0,0,0,0,0,0,0,0.0,2,2,2,2,0.9615384340286255,0.9615384340286255,1,19,18,0
8,3217,car,1,1,0,0,0,0,0,0,0,0.0,5,5,5,5,1.0,1.0,1,19,18,0
9,2239,person,0,0,0,0,0,0,0,1,1,0.9473684210526316,5,5,5,5,0.1785714328289032,0.1785714328289032,1,19,18,1
10,8563,chair,0,0,0,0,0,0,0,1,0,0.9473684210526316,3,3,3,3,0.25641027092933655,0.25641027092933655,1,19,18,1
11,5844,diningtable,0,0,0,0,0,0,0,1,0,0.9473684210526316,4,4,4,4,0.18518517911434174,0.18518517911434174,1,19,18,1
12,4721,person,0,0,0,0,0,0,0,1,1,1.0,4,6,6,6,0.36000001430511475,0.03846153989434242,2,19,18,11
13,4243,motorbike,1,1,0,0,0,0,0,0,0,0.0,2,2,2,2,0.9599999785423279,0.9599999785423279,1,19,18,0
14,2728,person,1,1,1,1,0,0,0,1,1,1.0,4,4,4,4,0.5128205418586731,0.5128205418586731,1,19,18,6
15,2062,tvmonitor,1,1,1,0,1,0,0,1,1,1.0,3,3,3,3,1.0,1.0,1,19,18,4
16,6481,car,1,1,1,1,0,0,0,1,1,1.0,0,0,0,0,0.8461538553237915,0.8461538553237915,1,19,18,4
17,6771,diningtable,0,0,0,0,0,0,0,0,0,0.0,2,2,2,2,0.44736841320991516,0.44736841320991516,1,19,17,0
18,8039,pottedplant,0,0,0,0,0,0,0,0,0,0.0,4,4,4,4,0.4583333432674408,0.4583333432674408,1,19,17,0
19,3893,car,0,0,0,0,0,0,0,1,1,1.0,1,1,1,1,0.375,0.375,1,19,18,8
20,7689,person,1,1,1,1,0,0,0,1,1,1.0,6,6,6,6,0.9642857313156128,0.9642857313156128,1,19,18,4
21,6984,chair,1,1,0,0,0,0,0,0,0,0.0,5,5,5,5,0.7272727489471436,0.7272727489471436,1,19,18,0
22,9231,horse,0,0,0,0,0,0,0,1,1,1.0,6,0,0,0,0.6190476417541504,0.1428571492433548,2,19,18,12
23,4650,motorbike,1,1,1,1,0,0,0,1,1,1.0,5,5,5,5,0.5882353186607361,0.5882353186607361,1,19,17,6
24,7553,motorbike,1,1,1,1,0,0,0,1,1,1.0,6,6,6,6,0.8518518805503845,0.8518518805503845,1,19,18,7
25,116,sofa,1,1,0,0,0,0,0,0,0,0.0,7,7,7,7,0.8799999952316284,0.8799999952316284,1,19,17,0
26,2856,diningtable,1,1,1,1,0,0,0,1,1,1.0,5,5,5,5,1.0,1.0,1,19,18,5
27,5898,sofa,1,1,1,0,1,0,0,1,1,1.0,5,5,5,5,0.8571428656578064,0.8571428656578064,1,19,15,5
28,8126,person,1,1,1,1,0,0,0,1,1,1.0,0,0,0,0,1.0,1.0,1,19,18,6
29,2982,person,0,0,0,0,0,0,0,1,1,1.0,2,2,2,2,0.4615384638309479,0.4615384638309479,1,19,18,9
30,7044,person,0,0,0,0,0,0,0,1,1,1.0,1,1,1,1,0.1875,0.1875,1,19,18,3
31,9475,car,0,0,0,0,0,0,0,1,1,1.0,0,0,0,0,1.0,1.0,1,19,18,15
32,1513,chair,0,0,0,0,0,0,0,1,1,1.0,3,3,3,3,0.0,0.0,1,19,18,8
33,8493,dog,1,1,0,0,0,0,0,0,0,0.0,5,5,5,5,1.0,1.0,1,19,18,0
34,4561,horse,1,1,0,0,0,0,0,0,0,0.0,2,2,2,2,1.0,1.0,1,19,18,0
35,1476,person,0,0,0,0,0,0,0,1,1,1.0,6,6,6,6,0.07692307978868484,0.07692307978868484,1,19,17,11
36,3617,person,0,0,0,0,0,0,0,1,1,1.0,0,0,0,0,0.375,0.375,1,19,17,16
37,9916,sofa,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0.5277777910232544,0.5277777910232544,1,19,18,0
38,4491,chair,1,1,1,1,0,0,0,1,1,1.0,0,0,0,0,0.939393937587738,0.939393937587738,1,19,18,2
39,1551,chair,1,1,1,1,0,0,0,1,1,0.9473684210526316,1,1,1,1,0.8500000238418579,0.8500000238418579,1,19,18,1
40,1376,person,1,1,0,0,0,0,0,0,0,0.0,3,3,3,3,0.8275862336158752,0.8275862336158752,1,19,18,0
41,9708,person,0,0,0,0,0,0,0,1,1,1.0,4,4,4,4,0.30434781312942505,0.30434781312942505,1,19,18,11
42,3479,dog,1,1,1,0,1,0,0,1,1,1.0,6,6,6,6,0.6428571343421936,0.6428571343421936,1,19,18,4
43,7462,sheep,1,1,0,0,0,0,0,0,0,0.0,6,6,6,6,0.9473684430122375,0.9473684430122375,1,19,18,0
44,3494,aeroplane,0,0,0,0,0,0,0,1,1,1.0,2,2,2,2,0.15217390656471252,0.15217390656471252,1,19,18,8
45,8486,sofa,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0.5588235259056091,0.5588235259056091,1,19,17,0
46,9960,motorbike,1,1,1,0,1,0,0,1,1,1.0,4,4,4,4,0.6097561120986938,0.6097561120986938,1,19,18,7
47,4756,horse,1,1,0,0,0,0,0,0,0,0.0,5,5,5,5,0.95652174949646,0.95652174949646,1,19,18,0
48,9152,person,0,0,0,0,0,0,0,1,1,1.0,2,2,2,2,0.3333333432674408,0.3333333432674408,1,19,18,16
49,8619,motorbike,1,1,1,1,0,0,0,1,1,1.0,0,0,0,0,0.6666666865348816,0.6666666865348816,1,19,18,5
50,4042,person,1,1,0,0,0,0,0,0,0,0.0,7,7,7,7,1.0,1.0,1,19,18,0
51,5506,motorbike,1,1,1,0,1,0,0,1,1,1.0,3,3,3,3,0.7894737124443054,0.7894737124443054,1,19,18,2
52,7453,sofa,1,1,1,0,1,0,0,1,1,0.9941520467836258,0,0,0,0,0.9666666388511658,0.9666666388511658,1,19,17,2
53,1340,person,1,1,1,1,0,0,0,1,1,1.0,1,1,1,1,1.0,1.0,1,19,17,4
54,3075,person,1,1,1,1,0,0,0,1,1,1.0,7,7,7,7,1.0,1.0,1,19,18,6
55,9487,person,1,1,1,1,0,0,0,1,1,1.0,7,7,7,7,0.9117646813392639,0.9117646813392639,1,19,18,5
56,1157,motorbike,1,1,1,0,1,0,0,1,1,1.0,7,7,7,7,1.0,1.0,1,19,18,10
57,314,sofa,0,0,0,0,0,0,0,1,1,1.0,5,5,5,5,0.05263157933950424,0.05263157933950424,1,19,17,16
58,6461,diningtable,1,1,0,0,0,0,0,0,0,0.0,6,6,6,6,0.6333333253860474,0.6333333253860474,1,19,17,0
59,4101,sofa,0,0,0,0,0,0,0,1,1,1.0,4,6,6,6,0.08571428805589676,1.0,2,19,17,4
60,1824,dog,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1.0,1,19,18,0
61,4426,car,1,1,1,1,0,0,0,1,1,1.0,1,1,1,1,1.0,1.0,1,19,18,3
62,1180,person,1,1,0,0,0,0,0,0,0,0.0,1,1,1,1,0.8571428656578064,0.8571428656578064,1,19,17,0
63,1095,dog,1,1,1,1,0,0,0,1,1,1.0,4,4,4,4,0.9130434989929199,0.9130434989929199,1,19,18,2
64,9827,train,1,1,1,0,1,0,0,1,1,1.0,4,4,4,4,0.8636363744735718,0.8636363744735718,1,19,18,3
65,1055,chair,1,1,1,1,0,0,0,1,1,0.9473684210526316,3,3,3,3,0.96875,0.96875,1,19,18,1
66,3532,sofa,0,0,0,0,0,0,0,1,1,1.0,5,5,5,5,0.07407407462596893,0.07407407462596893,1,19,17,8
67,1826,sofa,0,0,0,0,0,0,0,1,0,0.9941520467836258,7,7,7,7,0.4000000059604645,0.4000000059604645,1,19,17,2
68,5392,aeroplane,1,1,0,0,0,0,0,0,0,0.0,5,5,5,5,1.0,1.0,1,19,18,0
69,8579,motorbike,1,1,0,0,0,0,0,0,0,0.0,2,2,2,2,0.8214285969734192,0.8214285969734192,1,19,17,0
70,2240,diningtable,1,1,1,1,0,0,0,1,0,0.8947368421052632,5,5,5,5,0.8148148059844971,0.8148148059844971,1,19,17,1
71,4937,boat,1,1,1,1,0,0,0,1,1,0.9473684210526316,7,7,7,7,0.9473684430122375,0.9473684430122375,1,19,18,1
72,10,horse,1,1,0,0,0,0,0,0,0,0.0,1,1,1,1,1.0,1.0,1,19,18,0
73,6452,person,1,1,1,1,0,0,0,1,1,0.9824561403508771,5,5,5,5,0.949999988079071,0.949999988079071,1,19,16,2
74,5119,bicycle,1,1,0,0,0,0,0,0,0,0.0,2,2,2,2,1.0,1.0,1,19,18,0
75,7756,chair,0,0,0,0,0,0,0,0,0,0.0,5,5,5,5,0.4117647111415863,0.4117647111415863,1,19,18,0
76,2813,chair,1,1,1,0,1,0,0,1,1,1.0,2,2,2,2,0.9615384340286255,0.9615384340286255,1,19,18,3
77,687,car,0,0,0,0,0,0,0,1,1,1.0,7,7,7,7,1.0,1.0,1,19,18,5
78,8852,motorbike,1,1,1,0,1,0,0,1,1,1.0,7,7,7,7,0.9285714030265808,0.9285714030265808,1,19,18,2
79,8566,person,0,0,0,0,0,0,0,1,1,1.0,1,1,1,1,0.36666667461395264,0.36666667461395264,1,19,18,14
80,4410,tvmonitor,1,1,0,0,0,0,0,0,0,0.0,5,5,5,5,1.0,1.0,1,19,18,0
81,252,bus,1,1,0,0,0,0,0,0,0,0.0,2,2,2,2,0.9090909361839294,0.9090909361839294,1,19,17,0
82,9690,diningtable,0,0,0,0,0,0,0,0,0,0.0,1,1,1,1,0.42222222685813904,0.42222222685813904,1,19,18,0
83,9599,car,1,1,0,0,0,0,0,0,0,0.0,1,1,1,1,0.9473684430122375,0.9473684430122375,1,19,18,0
84,3755,sofa,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1.0,1,19,18,0
85,2301,diningtable,0,0,0,0,0,0,0,1,1,1.0,0,0,0,0,0.47058823704719543,0.47058823704719543,2,19,17,9
86,4378,person,0,0,0,0,0,0,0,1,1,1.0,6,6,6,6,0.46052631735801697,0.46052631735801697,1,19,18,15
87,2144,bird,1,1,0,0,0,0,0,0,0,0.0,1,1,1,1,0.9285714030265808,0.9285714030265808,1,19,18,0
88,291,tvmonitor,1,1,1,0,1,0,0,1,1,1.0,4,4,4,4,0.5,0.5,1,19,18,2
89,697,person,0,0,0,0,0,0,0,1,1,1.0,2,2,2,2,0.07407407462596893,0.07407407462596893,1,19,18,11
90,9486,diningtable,0,0,0,0,0,0,0,0,0,0.0,4,4,4,4,0.0,0.0,1,19,16,0
91,8868,boat,0,0,0,0,0,0,0,0,0,0.0,4,4,4,4,0.0714285746216774,0.0714285746216774,1,19,17,0
92,532,person,0,0,0,0,0,0,0,1,1,1.0,3,3,3,3,0.29629629850387573,0.29629629850387573,1,19,18,11
93,234,chair,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0.6315789222717285,0.6315789222717285,1,19,18,0
94,6432,person,0,0,0,0,0,0,0,0,0,0.0,4,4,4,4,0.2931034564971924,0.2931034564971924,1,19,18,0
95,6779,horse,1,1,0,0,0,0,0,0,0,0.0,1,1,1,1,1.0,1.0,1,19,18,0
96,1975,diningtable,1,1,1,0,1,0,0,1,1,1.0,2,2,2,2,0.8292682766914368,0.8292682766914368,1,19,17,5
97,4029,sofa,1,1,0,0,0,0,0,0,0,0.0,3,3,3,3,0.97826087474823,0.97826087474823,1,19,17,0
98,5936,cat,1,1,1,1,0,0,0,1,1,1.0,0,0,0,0,0.9583333134651184,0.9583333134651184,1,19,18,6
99,6672,horse,1,1,1,1,0,0,0,1,1,1.0,0,0,0,0,0.9285714030265808,0.9285714030265808,1,19,18,2
100,3304,person,0,0,0,0,0,0,0,1,1,1.0,4,4,4,4,0.3492063581943512,0.3492063581943512,1,19,18,7
101,5255,tvmonitor,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0416666679084301,0.0416666679084301,1,19,17,0
102,1133,sofa,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1.0,1,19,18,0
103,7652,person,1,1,1,1,0,0,0,1,1,0.9941520467836258,5,5,5,5,0.9230769276618958,0.9230769276618958,1,19,17,2
104,227,cat,1,1,0,0,0,0,0,0,0,0.0,2,2,2,2,0.8888888955116272,0.8888888955116272,1,19,18,0
105,8238,person,0,0,0,0,0,0,0,1,1,1.0,1,1,1,1,0.4749999940395355,0.4749999940395355,1,19,18,10
106,7303,horse,1,1,1,0,1,0,0,1,1,1.0,2,2,2,2,0.9629629850387573,0.9629629850387573,1,19,18,5
107,1363,tvmonitor,0,0,0,0,0,0,0,0,0,0.0,5,5,5,5,0.3636363744735718,0.3636363744735718,1,19,18,0
108,5240,train,1,1,0,0,0,0,0,0,0,0.0,5,5,5,5,1.0,1.0,1,19,18,0
109,2597,dog,0,0,0,0,0,0,0,1,1,1.0,0,0,0,0,0.2777777910232544,0.2777777910232544,1,19,18,9
110,2607,car,1,1,0,0,0,0,0,0,0,0.0,2,2,2,2,0.6000000238418579,0.6000000238418579,1,19,18,0
111,2626,person,1,1,0,0,0,0,0,0,0,0.0,4,4,4,4,0.8399999737739563,0.8399999737739563,1,19,18,0
112,630,motorbike,0,0,0,0,0,0,0,1,1,1.0,6,5,5,6,0.25,0.9583333134651184,2,19,18,18
113,7081,person,0,0,0,0,0,0,0,1,1,0.9473684210526316,0,0,0,0,0.1875,0.1875,1,19,18,1
114,5727,sofa,1,1,1,0,1,0,0,1,1,0.9473684210526316,0,0,0,0,1.0,1.0,1,19,18,1
115,6152,person,1,1,1,1,0,0,0,1,1,1.0,1,1,1,1,1.0,1.0,1,19,18,5
116,2031,horse,1,1,0,0,0,0,0,0,0,0.0,2,2,2,2,0.930232584476471,0.930232584476471,1,19,18,0
117,6057,diningtable,1,1,1,1,0,0,0,1,0,0.8947368421052632,4,4,4,4,0.6744186282157898,0.6744186282157898,1,19,17,1
118,4144,person,0,0,0,0,0,0,0,1,1,1.0,4,4,4,4,0.0,0.0,1,19,18,4
119,7646,bicycle,1,1,1,0,1,0,0,1,1,1.0,5,5,5,5,0.9444444179534912,0.9444444179534912,1,19,18,7
120,9118,sofa,1,1,0,0,0,0,0,0,0,0.0,3,3,3,3,1.0,1.0,1,19,18,0
121,8207,person,0,0,0,0,0,0,0,1,1,1.0,4,4,4,4,0.8888888955116272,0.8888888955116272,1,19,18,14
122,9023,car,1,1,1,0,1,0,0,1,1,1.0,7,7,7,7,0.6363636255264282,0.6363636255264282,1,19,18,4
123,9590,car,0,0,0,0,0,0,0,1,1,1.0,3,3,3,3,0.3947368562221527,0.3947368562221527,1,19,18,13
124,3517,person,1,1,1,0,1,0,0,1,1,0.8947368421052632,3,3,3,3,1.0,1.0,1,19,17,1
125,8915,bus,1,1,1,1,0,0,0,1,1,1.0,2,2,2,2,0.800000011920929,0.800000011920929,1,19,17,3
126,9014,dog,0,0,0,0,0,0,0,1,1,0.9473684210526316,0,0,0,0,0.095238097012043,0.095238097012043,1,19,18,1
127,3488,pottedplant,1,1,0,0,0,0,0,0,0,0.0,6,6,6,6,0.75,0.75,1,19,18,0
128,3049,person,1,1,0,0,0,0,0,0,0,0.0,3,3,3,3,0.6756756901741028,0.6756756901741028,1,19,18,0
129,4725,motorbike,0,0,0,0,0,0,0,1,1,1.0,3,3,3,3,0.4166666567325592,0.4166666567325592,1,19,18,13
130,5959,car,0,0,0,0,0,0,0,1,1,1.0,2,1,1,1,1.0,0.20000000298023224,2,19,18,16
131,1159,sofa,1,1,0,0,0,0,0,0,0,0.0,4,4,4,4,0.9777777791023254,0.9777777791023254,1,19,18,0
132,9662,diningtable,1,1,0,0,0,0,0,0,0,0.0,5,5,5,5,1.0,1.0,1,19,18,0
133,7164,aeroplane,1,1,1,0,1,0,0,1,1,0.8421052631578947,1,1,1,1,1.0,1.0,1,19,16,1
134,4210,sofa,1,1,0,0,0,0,0,0,0,0.0,2,2,2,2,0.9655172228813171,0.9655172228813171,1,19,18,0
135,8162,sofa,1,1,0,0,0,0,0,0,0,0.0,6,6,6,6,0.90625,0.90625,1,19,18,0
136,6453,person,1,1,1,1,0,0,0,1,1,0.9473684210526316,1,1,1,1,1.0,1.0,1,19,18,1
137,7722,diningtable,1,1,0,0,0,0,0,0,0,0.0,7,7,7,7,1.0,1.0,1,19,17,0
138,7181,person,0,0,0,0,0,0,0,1,1,1.0,6,6,6,6,0.2432432472705841,0.2432432472705841,1,19,18,4
139,8496,person,0,0,0,0,0,0,0,1,1,1.0,1,1,1,1,0.02500000037252903,0.02500000037252903,1,19,16,13
140,5809,bus,1,1,0,0,0,0,0,0,0,0.0,2,2,2,2,0.8888888955116272,0.8888888955116272,1,19,17,0
141,9310,chair,1,1,1,1,0,0,0,1,1,0.8947368421052632,2,2,2,2,0.8823529481887817,0.8823529481887817,1,19,17,1
142,9930,person,1,0,1,1,0,0,0,1,1,1.0,5,5,5,5,1.0,1.0,1,19,17,4
143,8525,tvmonitor,0,0,0,0,0,0,0,1,1,1.0,3,3,3,3,1.0,1.0,1,19,18,12
144,4476,person,0,0,0,0,0,0,0,1,1,1.0,7,7,7,7,1.0,1.0,1,19,18,18
145,5617,cow,1,1,0,0,0,0,0,0,0,0.0,4,4,4,4,0.8888888955116272,0.8888888955116272,1,19,18,0
146,8648,person,0,0,0,0,0,0,0,1,1,0.9473684210526316,3,3,3,3,0.1818181872367859,0.1818181872367859,1,19,18,1
147,3894,diningtable,0,0,0,0,0,0,0,1,1,1.0,4,4,4,4,0.05263157933950424,0.05263157933950424,1,19,18,17
148,693,car,1,1,0,0,0,0,0,0,0,0.0,6,6,6,6,0.8999999761581421,0.8999999761581421,1,19,18,0
149,4084,horse,1,1,0,0,0,0,0,0,0,0.0,4,4,4,4,0.9800000190734863,0.9800000190734863,1,19,18,0
150,3815,car,1,1,0,0,0,0,0,0,0,0.0,5,5,5,5,0.8787878751754761,0.8787878751754761,1,19,18,0
151,5251,train,1,0,1,1,0,0,0,1,1,1.0,0,0,0,0,1.0,1.0,1,19,18,3
152,7348,chair,1,1,1,1,0,0,0,1,1,0.9473684210526316,3,3,3,3,0.7857142686843872,0.7857142686843872,1,19,18,1
153,9124,train,1,1,1,0,1,0,0,1,1,1.0,0,0,0,0,0.9285714030265808,0.9285714030265808,1,19,18,2
154,8418,person,1,1,1,1,0,0,0,1,1,0.9473684210526316,2,2,2,2,1.0,1.0,1,19,18,1
155,7752,person,1,1,0,0,0,0,0,0,0,0.0,5,5,5,5,0.9285714030265808,0.9285714030265808,1,19,17,0
156,8785,car,0,0,0,0,0,0,0,1,1,1.0,3,3,3,3,1.0,1.0,1,19,18,10
157,5931,motorbike,1,1,0,0,0,0,0,0,0,0.0,6,6,6,6,0.5833333134651184,0.5833333134651184,1,19,18,0
158,7828,dog,1,1,1,1,0,0,0,1,1,1.0,0,0,0,0,0.95652174949646,0.95652174949646,1,19,18,4
159,727,bus,1,1,1,0,1,0,0,1,1,0.8947368421052632,3,3,3,3,1.0,1.0,1,19,17,1
160,2168,person,1,1,1,0,1,0,0,1,1,0.9473684210526316,6,6,6,6,0.7777777910232544,0.7777777910232544,1,19,18,1
161,8034,person,0,0,0,0,0,0,0,1,1,1.0,2,2,2,2,0.7272727489471436,0.7272727489471436,2,19,18,9
162,538,person,1,1,1,1,0,0,0,1,1,1.0,7,7,7,7,0.699999988079071,0.699999988079071,1,19,18,9
163,8543,sofa,1,1,0,0,0,0,0,0,0,0.0,1,1,1,1,0.6666666865348816,0.6666666865348816,1,19,18,0
164,8152,car,1,1,0,0,0,0,0,0,0,0.0,3,3,3,3,0.9767441749572754,0.9767441749572754,1,19,18,0
165,8245,diningtable,1,1,0,0,0,0,0,0,0,0.0,2,2,2,2,1.0,1.0,1,19,16,0
166,978,person,1,1,1,1,0,0,0,1,1,1.0,5,5,5,5,1.0,1.0,1,19,18,7
167,9804,car,1,1,1,1,0,0,0,1,1,1.0,2,2,2,2,1.0,1.0,1,19,18,2
168,7700,person,1,1,1,1,0,0,0,1,1,1.0,5,5,5,5,0.800000011920929,0.800000011920929,1,19,18,2
169,8400,person,1,1,0,0,0,0,0,0,0,0.0,5,5,5,5,1.0,1.0,1,19,18,0
170,7937,sofa,1,1,0,0,0,0,0,0,0,0.0,2,2,2,2,0.9375,0.9375,1,19,17,0
171,7573,bus,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0.95652174949646,0.95652174949646,1,19,18,0
172,2582,train,0,0,0,0,0,0,0,1,1,1.0,4,4,4,4,0.19230769574642181,0.19230769574642181,1,19,18,2
173,1169,person,1,1,1,1,0,0,0,1,1,1.0,0,0,0,0,1.0,1.0,1,19,17,4
174,6312,bicycle,1,1,0,0,0,0,0,0,0,0.0,4,4,4,4,1.0,1.0,1,19,18,0
175,8264,bus,0,0,0,0,0,0,0,1,1,1.0,7,7,7,7,1.0,1.0,1,19,17,15
176,85,person,1,1,1,1,0,0,0,1,1,1.0,1,1,1,1,0.6785714030265808,0.6785714030265808,1,19,17,9
