sample,image_id,target_name,bbox_precision,aggregate_pmean_all,aggregate_pmax,eval_target_response_pm,eval_target_response_agg,aggregate_hardest_foil,aggregate_hardest_foil_family
0,490567,toilet,0.6875,1.2156128352455775,0.494017329717177,0.8197360038757324,0.8322399291068376,bowl,kitchen
1,283217,person,0.03125,0.06009571455082405,-0.49692324904586166,0.2144857794046402,0.2185493352311459,parking meter,outdoor
2,497801,person,0.45098039215686275,0.3312392466390828,-1.9638051225910513,0.44730472564697266,0.45577916963655385,carrot,food
3,323925,teddy bear,0.2857142857142857,4.02960545959367,-0.8858874337105282,3.771777391433716,3.8452183516061433,bed,furniture
4,387990,bed,0.8571428571428571,2.1225077399088073,1.1035635617949893,2.260941743850708,2.3021310683149965,backpack,accessory
5,134940,kite,0.5625,1.9311123020339975,0.5651494463575153,2.271820068359375,2.3214289912463766,horse,animal
6,54337,dining table,0.4339622641509434,0.939852377671951,-0.15563659821949738,0.6200868487358093,0.6289128067915344,sheep,animal
7,80145,person,0.7894736842105263,0.5568462542194508,-2.0701557083685196,0.1409514844417572,0.14362189097149441,skis,sports
8,425390,cat,1.0,0.41717320434701605,-0.46363360595888925,0.5376536250114441,0.5478236439417878,kite,sports
9,520871,dining table,1.0,-0.06003743350993607,-0.3532406755849675,0.27320003509521484,0.2770886066001401,carrot,food
10,458255,bed,0.8333333333333334,0.33918971199947745,-0.21731762861054255,0.4153423011302948,0.42290891307486583,couch,furniture
11,211420,dining table,0.05263157894736842,0.6111259778388612,-0.18314430603504403,0.23021847009658813,0.23349526683057495,boat,vehicle
12,414661,person,0.20754716981132076,0.05911077863944937,-0.823019765878609,0.12504641711711884,0.12741549304499797,pizza,food
13,422836,person,0.7,0.03389284977387563,-0.4130629081718335,0.4355550706386566,0.4438069106905735,truck,vehicle
14,75146,boat,0.9047619047619048,1.8381819338584944,0.6018826296641415,2.036212205886841,2.075286261802661,dining table,furniture
15,28071,stop sign,0.07407407407407407,4.953553975546723,2.7851278402489195,4.2472639083862305,4.319307914347611,traffic light,outdoor
16,176031,person,0.05714285714285714,0.5413153675113294,-0.6076054200365069,0.4674893319606781,0.4763461848671556,book,indoor
17,476704,bus,0.6538461538461539,0.2852680414787484,-1.7198422758196574,0.15622363984584808,0.15935321811090702,bicycle,vehicle
18,312384,bus,0.29545454545454547,2.7370066561537723,-0.4821764270832003,2.0919783115386963,2.133886244686499,stop sign,outdoor
19,314383,person,0.17391304347826086,0.049388540589878516,-0.49629633097722736,0.41015323996543884,0.4179238277995043,frisbee,sports
20,142261,person,0.4,0.11124981433091401,-0.29900188907151,-0.09282346814870834,-0.09458206186936967,fire hydrant,outdoor
21,510861,person,0.36585365853658536,0.17004555858123435,-1.5903358960421632,0.2946317195892334,0.3002136861146296,tie,accessory
22,573784,chair,0.22807017543859648,0.5988145223028684,-1.1594078752723027,0.37227773666381836,0.37858169397830627,couch,furniture
23,147667,person,0.9375,0.32238632474996476,-1.3524815927776286,0.05547615885734558,0.0565271864321464,giraffe,animal
24,353866,person,0.0,0.08880744396165126,-1.2448239506106902,0.12282344698905945,0.12515040747580727,boat,vehicle
25,63565,person,0.6153846153846154,0.19369918031397693,-1.2148538329736205,0.3645460307598114,0.3714525639175593,orange,food
26,187286,train,0.8666666666666667,1.3348282568745646,0.4365915854477779,0.6319746971130371,0.6431301806571009,broccoli,food
27,381870,elephant,0.9523809523809523,8.239591345612139,5.199012400748582,6.630765438079834,6.769945196966317,hair drier,indoor
28,341424,microwave,0.0392156862745098,0.6033177034615091,-1.9723429333562412,1.0508748292922974,1.0757267663480443,parking meter,outdoor
29,93175,person,1.0,0.6630597950815879,-0.654083957419861,-0.09714829176664352,-0.09898882174555027,zebra,animal
30,218766,person,1.0,0.10572072535987949,-1.0684384228894155,0.1375967264175415,0.14020357513680914,horse,animal
31,350171,person,0.8181818181818182,0.6579966360449254,-1.254541359061011,0.10562807321548462,0.10762925750634426,tennis racket,sports
32,452700,car,0.8571428571428571,1.246880099101889,0.5413068957109299,1.2064756155014038,1.2266892223981467,zebra,animal
33,94926,person,0.7391304347826086,0.9051147447885017,-0.15712511979963412,0.4125480651855469,0.42036402435380354,sink,appliance
34,557998,person,1.0,0.6230128114235718,-0.7330084064118012,0.3564826250076294,0.36323639232926125,hair drier,indoor
35,131919,person,0.0,0.10238052344813528,-0.09524179983528597,0.19141946732997894,0.19504601867494203,keyboard,electronic
36,325991,person,0.9583333333333334,0.4831301574196989,-1.2953176840345586,0.027465621009469032,0.027985972916208125,tennis racket,sports
37,462755,kite,0.7647058823529411,3.821237722970885,0.11001978547802915,2.640977144241333,2.698647218258074,giraffe,animal
38,304186,person,0.9846153846153847,-0.11130300702633467,-1.4317681626905234,0.7335332036018372,0.7474304098954454,baseball glove,sports
39,328306,person,0.0,-0.05072611535801201,-0.251559945962518,0.11814594268798828,0.1203842851791334,teddy bear,indoor
40,301282,dining table,0.9666666666666667,-0.06414343456968519,-6.596664827435329,0.42828574776649475,0.43438171973132256,pizza,food
41,68128,train,0.8823529411764706,0.8763605744771492,0.08125627158904647,0.855488121509552,0.8705890166960801,zebra,animal
42,9857,bed,1.0,0.1870781774484034,-0.281226671517157,0.1811608523130417,0.18446119967778196,donut,food
43,42576,cat,1.0,-0.01021802480699649,-0.580473963409272,0.12417533248662949,0.12652417832960852,teddy bear,indoor
44,532159,stop sign,0.8,4.693015619059599,1.8481684775346983,3.9199182987213135,3.986409720816275,traffic light,outdoor
45,529148,laptop,0.7647058823529411,0.44795981660407325,-0.44005056360596473,0.6263383030891418,0.6376769634521048,umbrella,accessory
46,73009,person,1.0,0.43434081962377624,-1.796814729457851,1.2753597497940063,1.2995221700558606,parking meter,outdoor
47,36049,train,0.22916666666666666,0.29913000864693706,-0.8587592860607862,0.45627880096435547,0.4643329377500765,baseball glove,sports
48,307786,person,0.7857142857142857,1.3438419654884242,-0.08589874243572782,0.1486583799123764,0.1514747979869388,tie,accessory
49,28452,refrigerator,1.0,-0.06417369269553375,-1.4257777080044127,0.40236857533454895,0.40938364231257435,bottle,kitchen
50,363981,person,1.0,0.9045559204774518,-3.5118347786802766,0.2681891620159149,0.27327015915679986,skateboard,sports
51,434043,pizza,0.7575757575757576,1.3588655509677974,-0.9836602584531735,0.954981803894043,0.9717871863688683,donut,food
52,536369,oven,0.875,1.1515185779775028,-1.974809789978232,1.4674183130264282,1.492150498062444,bowl,kitchen
53,547196,dining table,0.9230769230769231,1.5335303268294425,0.4238925599844001,1.8025083541870117,1.8281642170094252,fork,kitchen
54,228854,couch,1.0,0.985312158333148,-0.4585400131781152,0.6505143046379089,0.6600834438177963,chair,furniture
55,294776,person,0.44,0.09979574105587291,-1.7580190241342761,-0.08088421821594238,-0.08241661601460334,sports ball,sports
56,254516,person,0.42857142857142855,0.06514179178648646,-0.07535843534793289,0.08028978854417801,0.08181092453255555,carrot,food
57,162362,umbrella,0.9375,2.1607746985115863,1.1264313097633822,1.5258560180664062,1.5609955984141999,scissors,indoor
