sample_index,image_id,target_id,A,Aplus,B,C0,C1,C2,r,full_failure,absent_failure,exact_matched_random_failure_probability,cci_region,wf_region,mean_region,max_0_1_region,cci_bbox_precision,wf_bbox_precision,feasible_set_size,n_full_foils,n_absent_foils,m_outranking_foils
0,490567,70,0,0,0,0,0,0,0,1,1,1.0,1,1,1,1,0.1666666716337204,0.1666666716337204,1,79,78,17
1,283217,1,0,0,0,0,0,0,0,1,1,1.0,4,4,4,4,0.20000000298023224,0.20000000298023224,1,79,77,27
2,497801,1,0,0,0,0,0,0,0,1,1,1.0,6,6,6,6,0.0,0.0,1,79,77,15
3,323925,88,1,1,0,0,0,0,0,0,0,0.0,6,6,6,6,1.0,1.0,1,79,77,0
4,387990,65,0,0,0,0,0,0,0,1,1,1.0,0,0,0,0,0.0,0.0,1,79,77,4
5,134940,38,1,1,0,0,0,0,0,0,0,0.0,4,4,4,4,1.0,1.0,1,79,78,0
6,54337,67,0,0,0,0,0,0,0,1,1,1.0,4,4,4,4,0.3333333432674408,0.3333333432674408,1,79,74,9
7,80145,1,0,0,0,0,0,0,0,1,1,1.0,1,1,1,1,0.0,0.0,1,79,78,54
8,425390,17,1,1,1,0,1,0,0,1,1,1.0,4,4,4,4,1.0,1.0,1,79,78,33
9,520871,67,0,0,0,0,0,0,0,1,1,1.0,3,3,3,3,0.4000000059604645,0.4000000059604645,1,79,75,24
10,458255,65,1,1,1,1,0,0,0,1,1,0.9999873544177341,1,1,1,1,1.0,1.0,1,79,76,3
11,211420,67,1,1,0,0,0,0,0,0,0,0.0,3,3,3,3,1.0,1.0,1,79,74,0
12,414661,1,0,0,0,0,0,0,0,1,1,1.0,1,1,1,1,0.3333333432674408,0.3333333432674408,1,79,78,16
13,422836,1,1,1,1,1,0,0,0,1,1,1.0,1,1,1,1,0.7777777910232544,0.7777777910232544,1,79,75,23
14,75146,9,1,1,0,0,0,0,0,0,0,0.0,2,2,2,2,0.800000011920929,0.800000011920929,1,79,78,0
15,28071,13,0,0,0,0,0,0,0,0,0,0.0,6,6,6,6,0.25,0.25,1,79,77,0
