image_id,sample_index,frozen_cci_region,local_cci_region,frozen_selection_score,local_selection_target_at_local_cci,local_selection_target_at_frozen_cci,frozen_bbox_precision,local_cci_bbox_precision,frozen_aggregate_pmean_foil,local_cci_pmean_norm,frozen_aggregate_pmax,local_cci_margin_norm,candidate_arrays_available_local,candidate_arrays_available_frozen
106661,23462,5,1,0.2324685156345367,0.2126920223236084,-1.193137764930725,0.0,0.0370370373129844,0.0556358676838043,0.1452370584011078,-0.3451216975551081,-0.4034534692764282,True,False
135671,2625,6,1,0.3772461712360382,0.5075123310089111,0.14784802496433258,0.0789473684210526,0.5833333134651184,0.0155314467579134,0.6042628288269043,-0.8661443340697051,-0.277032196521759,True,False
171016,25015,4,0,0.0096436338499188,0.009636515751481056,-1.0813318490982056,0.0,0.0,0.0245253228174093,0.0245192050933837,-0.1042735688599056,-0.1042780131101608,True,False
180490,15724,0,7,2.1712212562561035,1.4756741523742676,-0.0015766128199175,1.0,0.6129032373428345,1.9029964542465547,2.124922037124634,0.1332937897507524,0.127859354019165,True,False
224257,12165,0,4,0.3055034279823303,0.8814010620117188,-0.15116415917873383,0.7931034482758621,0.6052631735801697,0.1578020736604123,0.8253520131111145,-0.936521112866383,-0.5328038334846497,True,False
285534,23692,1,7,0.8742005228996277,0.529060959815979,0.18811772763729095,1.0,1.0,0.1552722096083143,0.0228815525770187,-1.1030448136941975,-1.112773299217224,True,False
315195,3365,6,4,1.016984462738037,1.3256527185440063,0.742263674736023,0.7368421052631579,0.8235294222831726,0.641078367209407,1.0218019485473633,-0.1073608306757744,-1.1865798234939575,True,False
323598,25326,2,3,0.6025384664535522,0.4175167977809906,0.2128119319677353,0.1111111111111111,0.0,1.344924839933695,0.1665878742933273,-1.615429962179549,-0.1482976227998733,True,False
389595,5549,3,2,0.5199418067932129,0.3616503179073334,0.024868084117770195,0.9487179487179488,0.8809523582458496,0.1409559658020959,0.0938974320888519,-0.9057284597573494,-1.0010652542114258,True,False
533464,1036,1,0,0.2303121834993362,0.6246119141578674,0.08611109107732773,0.56,0.5416666865348816,0.2471368063819978,0.5487228631973267,-0.2665385969280391,-0.0583471655845642,True,False
